,Unnamed: 0,kingdom,phylum,class,order,family,genus,species,sBin,gBin,fBin,dist_SGB,sSGB,gSGB,fSGB
fBin__17|gBin__39|sBin__48,Rep_48,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000431015,48.0,39.0,17,0.0195794468181818,2227,1627,658
fBin__17|gBin__39|sBin__49,Rep_49,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,49.0,39.0,17,0.0443681499999999,2228,1627,658
fBin__17|gBin__39|sBin__50,Rep_50,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900544195,50.0,39.0,17,0.0197126768421052,2229,1627,658
fBin__17|gBin__39|sBin__51,Rep_51,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000433355,51.0,39.0,17,0.0215499131233595,2230,1627,658
fBin__17|gBin__40|sBin__52,Rep_52,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900545245,52.0,40.0,17,0.0322127416666666,2241,1633,658
fBin__17|gBin__41|sBin__53,Rep_53,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900546925,53.0,41.0,17,0.0208965599999999,2237,1629,658
fBin__17|gBin__42|sBin__54,Rep_54,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000435075,54.0,42.0,17,0.0307796403846153,2238,1630,658
fBin__17|gBin__43|sBin__55,Rep_55,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000434935,55.0,43.0,17,0.0319100412371134,2239,1631,658
fBin__17|gBin__43|sBin__56,Rep_56,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000432515,56.0,43.0,17,0.0353696752808988,2240,1632,658
fBin__18|gBin__44|sBin__57,Rep_57,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,57.0,44.0,18,0.02077715,2191,1596,648
fBin__19|gBin__45|sBin__58,Rep_58,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900316045,58.0,45.0,19,0.2660258272727273,unknown,unknown,658
fBin__20|gBin__46|sBin__59,Rep_59,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp001915575,59.0,46.0,20,0.0095843,2218,1620,654
fBin__20|gBin__47|sBin__60,Rep_60,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,60.0,47.0,20,0.01141385,2219,1621,654
fBin__20|gBin__47|sBin__61,Rep_61,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900543205,61.0,47.0,20,0.01675935,2220,1621,654
fBin__20|gBin__48|sBin__62,Rep_62,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,62.0,48.0,20,0.152009,unknown,unknown,654
fBin__20|gBin__49|sBin__63,Rep_63,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,63.0,49.0,20,0.0,2221,1622,654
fBin__20|gBin__50|sBin__64,Rep_64,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp000432655,64.0,50.0,20,0.0214270746666666,2214,1617,654
fBin__20|gBin__51|sBin__65,Rep_65,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,RC9 sp900541925,65.0,51.0,20,0.0242117449999999,2215,1618,654
fBin__21|gBin__52|sBin__66,Rep_66,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,66.0,52.0,21,0.0,2247,1636,658
fBin__21|gBin__53|sBin__67,Rep_67,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,67.0,53.0,21,0.0,2246,1635,658
fBin__21|gBin__54|sBin__68,Rep_68,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9,unknown,68.0,54.0,21,0.270747,unknown,unknown,658
fBin__22|gBin__55|sBin__69,Rep_69,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,UBA3382,unknown,69.0,55.0,22,0.295981,unknown,unknown,658
fBin__23|gBin__56|sBin__70,Rep_70,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA3388,UBA3388 sp900546465,70.0,56.0,23,0.012802975,1332,1035,503
fBin__23|gBin__56|sBin__71,Rep_71,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,UBA3388,UBA3388 sp900545215,71.0,56.0,23,0.016852375,1333,1035,503
fBin__24|gBin__57|sBin__72,Rep_72,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,F082,F082 sp002633315,72.0,57.0,24,0.00799215,17823,11117,3419
fBin__25|gBin__58|sBin__73,Rep_73,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,P3,unknown,unknown,73.0,58.0,25,0.328965,unknown,unknown,unknown
fBin__26|gBin__59|sBin__74,Rep_74,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas capnocytophagoides,74.0,59.0,26,0.0055927066666666,1769,1321,587
fBin__26|gBin__60|sBin__75,Rep_75,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas sp900079735,75.0,60.0,26,0.0267421,1772,1324,587
fBin__26|gBin__60|sBin__76,Rep_76,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,Dysgonomonas mossii,76.0,60.0,26,0.02206215,1773,1324,587
fBin__26|gBin__61|sBin__77,Rep_77,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unknown,77.0,61.0,26,0.181421,unknown,unknown,587
fBin__27|gBin__62|sBin__78,Rep_78,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter sp900544025,78.0,62.0,27,0.0130773333333333,1788,1331,589
fBin__27|gBin__62|sBin__79,Rep_79,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter sp900541415,79.0,62.0,27,0.0090236333333333,1787,1331,589
fBin__27|gBin__63|sBin__80,Rep_80,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter sp900548135,80.0,63.0,27,0.0120681,1789,1332,589
fBin__27|gBin__64|sBin__81,Rep_81,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter splanchnicus,81.0,64.0,27,0.017282646,1790,1333,589
fBin__27|gBin__65|sBin__82,Rep_82,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,unknown,82.0,65.0,27,0.2536290987509758,unknown,unknown,673
fBin__27|gBin__66|sBin__83,Rep_83,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter massiliensis,83.0,66.0,27,0.0120245386956521,1791,1334,589
fBin__27|gBin__67|sBin__84,Rep_84,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,Odoribacter laneus,84.0,67.0,27,0.0114972526666666,1792,1335,589
fBin__27|gBin__67|sBin__85,Rep_85,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,unknown,85.0,67.0,27,0.1150271333333333,unknown,1335,589
fBin__27|gBin__68|sBin__86,Rep_86,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,unknown,86.0,68.0,27,0.0171265,1793,1336,589
fBin__28|gBin__69|sBin__87,Rep_87,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Gabonibacter,Gabonibacter sp900543425,87.0,69.0,28,0.0153067666666666,1777,1326,588
fBin__28|gBin__69|sBin__88,Rep_88,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Gabonibacter,Gabonibacter massiliensis,88.0,69.0,28,0.00424934,1776,1326,588
fBin__28|gBin__70|sBin__89,Rep_89,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas sp900184685,89.0,70.0,28,0.0166786333333333,1778,1327,588
fBin__28|gBin__70|sBin__90,Rep_90,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,unknown,90.0,70.0,28,0.0,1779,1328,588
fBin__28|gBin__71|sBin__91,Rep_91,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas sp003479425,91.0,71.0,28,0.0097034183333333,1781,1329,588
fBin__28|gBin__72|sBin__92,Rep_92,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas faecalis,92.0,72.0,28,0.0257788142424242,1782,1330,588
fBin__28|gBin__72|sBin__93,Rep_93,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas virosa,93.0,72.0,28,0.056390804040404,unknown,1330,588
fBin__28|gBin__72|sBin__94,Rep_94,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas virosa,94.0,72.0,28,0.0228892197979798,1784,1330,588
fBin__28|gBin__72|sBin__95,Rep_95,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas faecihominis,95.0,72.0,28,0.0242055834545454,1786,1330,588
fBin__28|gBin__72|sBin__96,Rep_96,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,Butyricimonas sp002161485,96.0,72.0,28,0.0201898395434782,1785,1330,588
fBin__29|gBin__73|sBin__97,Rep_97,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,unknown,97.0,73.0,29,0.0145073028571428,2018,1455,618
fBin__29|gBin__74|sBin__98,Rep_98,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,unknown,98.0,74.0,29,0.0219229761111111,2019,1456,618
fBin__30|gBin__75|sBin__99,Rep_99,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas uenonis_A,99.0,75.0,30,0.01659718,1973,1432,609
fBin__30|gBin__75|sBin__100,Rep_100,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas uenonis,100.0,75.0,30,0.0227553666666666,1974,1432,609
fBin__30|gBin__75|sBin__101,Rep_101,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp900539155,101.0,75.0,30,0.0158304,1976,1432,609
fBin__30|gBin__75|sBin__102,Rep_102,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas asaccharolytica,102.0,75.0,30,0.0127929288888888,1981,1432,609
fBin__30|gBin__75|sBin__103,Rep_103,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp900539765,103.0,75.0,30,0.0088306299999999,1982,1432,609
fBin__30|gBin__75|sBin__104,Rep_104,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp900546675,104.0,75.0,30,0.0186658833333333,1983,1432,609
fBin__30|gBin__75|sBin__105,Rep_105,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp900538385,105.0,75.0,30,0.0338111538461538,1977,1432,609
fBin__30|gBin__75|sBin__106,Rep_106,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas sp900548415,106.0,75.0,30,0.02642924,1980,1432,609
fBin__30|gBin__75|sBin__107,Rep_107,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,unknown,107.0,75.0,30,0.0216663,1979,1432,609
fBin__31|gBin__76|sBin__108,Rep_108,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,Porphyromonas_A bennonis,108.0,76.0,31,0.032071510090909,1985,1433,610
fBin__31|gBin__76|sBin__109,Rep_109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,unknown,109.0,76.0,31,0.03280685,1984,1433,610
fBin__31|gBin__76|sBin__110,Rep_110,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,Porphyromonas_A sp900541275,110.0,76.0,31,0.0193396314285714,1989,1433,610
fBin__31|gBin__76|sBin__111,Rep_111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,unknown,111.0,76.0,31,0.0278084,1988,1433,610
fBin__31|gBin__76|sBin__112,Rep_112,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,Porphyromonas_A sp001808555,112.0,76.0,31,0.0303933875,1990,1433,610
fBin__32|gBin__77|sBin__113,Rep_113,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,Porphyromonas_A somerae,113.0,77.0,32,0.02128676,1991,1434,611
fBin__32|gBin__77|sBin__114,Rep_114,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas_A,Porphyromonas_A sp900554935,114.0,77.0,32,0.0,1992,1434,611
fBin__33|gBin__78|sBin__115,Rep_115,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,unknown,unknown,115.0,78.0,33,0.136,unknown,1490,627
fBin__33|gBin__78|sBin__116,Rep_116,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,unknown,unknown,116.0,78.0,33,0.0,2065,1490,627
fBin__34|gBin__79|sBin__117,Rep_117,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA6398,UBA6398 sp003150315,117.0,79.0,34,0.0171146234666666,1404,1093,529
fBin__35|gBin__80|sBin__118,Rep_118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA6398,UBA6398 sp900555645,118.0,80.0,35,0.008660635,1407,1095,530
fBin__35|gBin__81|sBin__119,Rep_119,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA6398,UBA6398 sp900550635,119.0,81.0,35,0.0293121322580645,1408,1096,530
fBin__36|gBin__82|sBin__120,Rep_120,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,unknown,120.0,82.0,36,0.2470095365853658,unknown,unknown,553
fBin__36|gBin__83|sBin__121,Rep_121,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900542795,121.0,83.0,36,0.020474075,1473,1147,553
fBin__36|gBin__83|sBin__122,Rep_122,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900543155,122.0,83.0,36,0.0235897829268292,1474,1147,553
fBin__36|gBin__84|sBin__123,Rep_123,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900546605,123.0,84.0,36,0.0177004,1476,1149,553
fBin__36|gBin__85|sBin__124,Rep_124,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900540885,124.0,85.0,36,0.0277450136,1475,1148,553
fBin__36|gBin__86|sBin__125,Rep_125,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900541575,125.0,86.0,36,0.024352,1478,1151,553
fBin__36|gBin__87|sBin__126,Rep_126,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia timonensis,126.0,87.0,36,0.0373727852713178,1477,1150,553
fBin__36|gBin__88|sBin__127,Rep_127,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp000437675,127.0,88.0,36,0.0225393565217391,1481,1153,553
fBin__36|gBin__89|sBin__128,Rep_128,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900541335,128.0,89.0,36,0.01809522,1482,1154,553
fBin__37|gBin__90|sBin__129,Rep_129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,unknown,129.0,90.0,37,0.0064350599999999,1471,1145,553
fBin__37|gBin__91|sBin__130,Rep_130,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900539625,130.0,91.0,37,0.0307327134502924,1472,1146,553
fBin__37|gBin__92|sBin__131,Rep_131,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,unknown,131.0,92.0,37,0.270747,unknown,unknown,540
fBin__37|gBin__93|sBin__132,Rep_132,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,unknown,unknown,132.0,93.0,37,0.0,1428,1114,540
